Location:,Team Names:,Seasons:,Record:,Playoff Appearances:,Championships:
"New York, New York",New York Knicks,70; 1946-47 to 2015-16,"2692-2752, .494 W-L%",42,2
"Oklahoma City, Oklahoma","Oklahoma City Thunder, Seattle SuperSonics",49; 1967-68 to 2015-16,"2121-1817, .539 W-L%",27,1
"Orlando, Florida",Orlando Magic,27; 1989-90 to 2015-16,"1048-1083, .492 W-L%",14,0
"Philadelphia, Pennsylvania","Philadelphia 76ers, Syracuse Nationals",67; 1949-50 to 2015-16,"2723-2547, .517 W-L%",47,3
"Phoenix, Arizona",Phoenix Suns,48; 1968-69 to 2015-16,"2113-1743, .548 W-L%",29,0
"Portland, Oregon",Portland Trail Blazers,46; 1970-71 to 2015-16,"1971-1721, .534 W-L%",31,1
"Sacramento, California","Sacramento Kings, Kansas City Kings, Kansas City-Omaha Kings, Cincinnati Royals, Rochester Royals",68; 1948-49 to 2015-16,"2452-2883, .460 W-L%",29,1
"San Antonio, Texas","San Antonio Spurs, San Antonio Spurs, Texas Chaparrals, Dallas Chaparrals",49 (40 NBA &amp; 9 ABA); 1967-68 to 2015-16,"2357-1585, .598 W-L% (1979-1219 NBA &amp; 378-366 ABA)",43 (35 NBA &amp; 8 ABA),5 (5 NBA &amp; 0 ABA)
"Toronto, Canada",Toronto Raptors,21; 1995-96 to 2015-16,"711-930, .433 W-L%",7,0
"Salt Lake City, Utah","Utah Jazz, New Orleans Jazz",42; 1974-75 to 2015-16,"1797-1564, .535 W-L%",25,0
"Washington, District of Columbia","Washington Wizards, Washington Bullets, Capital Bullets, Baltimore Bullets, Chicago Zephyrs, Chicago Packers",55; 1961-62 to 2015-16,"1984-2431, .449 W-L%",27,1
"Anderson, Indiana",Anderson Packers,1; 1949-50 to 1949-50,"37-27, .578 W-L%",1,0
"Baltimore, Maryland",Baltimore Bullets,8; 1947-48 to 1954-55,"158-292, .351 W-L%",3,1
"Chicago, Illinois",Chicago Stags,4; 1946-47 to 1949-50,"145-92, .612 W-L%",4,0
"Cleveland, Ohio",Cleveland Rebels,1; 1946-47 to 1946-47,"30-30, .500 W-L%",1,0
"Denver, Colorado",Denver Nuggets,1; 1949-50 to 1949-50,"11-51, .177 W-L%",0,0
"Detroit, Michigan",Detroit Falcons,1; 1946-47 to 1946-47,"20-40, .333 W-L%",0,0
"Indianapolis, Indiana",Indianapolis Jets,1; 1948-49 to 1948-49,"18-42, .300 W-L%",0,0
"Indianapolis, Indiana",Indianapolis Olympians,4; 1949-50 to 1952-53,"132-137, .491 W-L%",4,0
"Louisville, Kentucky",Kentucky Colonels,9 (0 NBA &amp; 9 ABA); 1967-68 to 1975-76,"448-296, .602 W-L% (0-0 NBA &amp; 448-296 ABA)",9 (0 NBA &amp; 9 ABA),1 (0 NBA &amp; 1 ABA)
"Memphis, Tennessee","Memphis Sounds, Memphis Tams, Memphis Pros, New Orleans Buccaneers",8 (0 NBA &amp; 8 ABA); 1967-68 to 1974-75,"275-385, .417 W-L% (0-0 NBA &amp; 275-385 ABA)",4 (0 NBA &amp; 4 ABA),0
"Pittsburgh, Pennsylvania","Pittsburgh Condors, Minnesota Pipers, Pittsburgh Pipers",5 (0 NBA &amp; 5 ABA); 1967-68 to 1971-72,"180-228, .441 W-L% (0-0 NBA &amp; 180-228 ABA)",2 (0 NBA &amp; 2 ABA),1 (0 NBA &amp; 1 ABA)
"Pittsburgh, Pennsylvania",Pittsburgh Ironmen,1; 1946-47 to 1946-47,"15-45, .250 W-L%",0,0
"Providence, Rhode Island",Providence Steam Rollers,3; 1946-47 to 1948-49,"46-122, .274 W-L%",0,0
"San Diego, California","San Diego Sails, San Diego Conquistadors",4 (0 NBA &amp; 4 ABA); 1972-73 to 1975-76,"101-162, .384 W-L% (0-0 NBA &amp; 101-162 ABA)",2 (0 NBA &amp; 2 ABA),0
"Sheboygan, Wisconsin",Sheboygan Red Skins,1; 1949-50 to 1949-50,"22-40, .355 W-L%",1,0
"St. Louis, Missouri","Spirits of St. Louis, Carolina Cougars, Houston Mavericks",9 (0 NBA &amp; 9 ABA); 1967-68 to 1975-76,"334-410, .449 W-L% (0-0 NBA &amp; 334-410 ABA)",5 (0 NBA &amp; 5 ABA),0
"St. Louis, Missouri",St. Louis Bombers,4; 1946-47 to 1949-50,"122-115, .515 W-L%",3,0
"Miami, Florida","The Floridians, Miami Floridians, Minnesota Muskies",5 (0 NBA &amp; 5 ABA); 1967-68 to 1971-72,"189-219, .463 W-L% (0-0 NBA &amp; 189-219 ABA)",4 (0 NBA &amp; 4 ABA),0
"Toronto, Canada",Toronto Huskies,1; 1946-47 to 1946-47,"22-38, .367 W-L%",0,0
"Salt Lake City, Utah","Utah Stars, Los Angeles Stars, Anaheim Amigos",9 (0 NBA &amp; 9 ABA); 1967-68 to 1975-76,"366-310, .541 W-L% (0-0 NBA &amp; 366-310 ABA)",6 (0 NBA &amp; 6 ABA),1 (0 NBA &amp; 1 ABA)
"Norfolk, Virginia","Virginia Squires, Washington Capitols, Oakland Oaks",9 (0 NBA &amp; 9 ABA); 1967-68 to 1975-76,"326-417, .439 W-L% (0-0 NBA &amp; 326-417 ABA)",6 (0 NBA &amp; 6 ABA),1 (0 NBA &amp; 1 ABA)
"Washington, District of Columbia",Washington Capitols,5; 1946-47 to 1950-51,"157-114, .579 W-L%",4,0
"Waterloo, Iowa",Waterloo Hawks,1; 1949-50 to 1949-50,"19-43, .306 W-L%",0,0
